gender,age,category,platform,product_name,image_link,currency_symbol,price,delivery_tagline,delivery_days,average_rating,buy_link,ratings_total,product_id,last_updated_on,brands,categories,characters,tags,age_ai,genders_ai
girl,6,toys,amazon,"Yodeling Pickle: A Musical Toy, Fun for All Ages, Great Gift, Hours of Mindless Entertainment",https://m.media-amazon.com/images/I/61XpbxZU-8L._AC_UL320_.jpg,$,13.4,Check Retailer site for delivery info,-1,4.6,https://www.amazon.com/Accoutrements-11761-Yodelling-Pickle/dp/B0010VS078/ref=sr_1_146?keywords=toys+6+year+girl&qid=1684412955&sr=8-146,10585,A-B0010VS078,1684413071655,,"musical toys, fun toys",yodeling pickle,"fun toy, great gift, hours of mindless entertainment",all ages,
"boy,girl","3,5,6,8",toys,amazon,"Calico Critters, Hopscotch Rabbit Family, Dolls, Doll House Figures, Collectible Toys",https://m.media-amazon.com/images/I/71YAf7mV2cL._AC_UL320_.jpg,$,24.94,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Calico-Critters-Hopscotch-Rabbit-Family/dp/B0011MTFUM/ref=sr_1_16?keywords=toys+3+year+boy&qid=1674127475&sr=8-16,8973,A-B0011MTFUM,1684412227343,calico critters,"dolls, doll house figures, collectible toys",hopscotch rabbit family,"doll, doll house, collectible toy",,
"boy,girl","7,2",toys,amazon,"Jellycat Bashful Cream Bunny Stuffed Animal, Medium, 12 inches",https://m.media-amazon.com/images/I/51RSS2UaoyS._AC_UL320_.jpg,$,25,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Jellycat-Bashful-Cream-Medium-inches/dp/B0012SDXUI/ref=sr_1_50?keywords=toys+7+year+boy&qid=1674127597&sr=8-50,1988,A-B0012SDXUI,1681900965371,jellycat,stuffed animals,bashful cream bunny,"stuffed animal, medium 12 inch",,
girl,3,toys,amazon-in,"Orchard Toys Shopping List Booster Pack - Fruit & Veg, Multicolor (090)",https://m.media-amazon.com/images/I/81afaWPod+L._AC_UL400_.jpg,₹,3573,"Get it Saturday, 3 June - Wednesday, 7 June",15,4.7,https://www.amazon.in/Shopping-List-Booster-Pack-Fruit/dp/B0013FUKE2/ref=sr_1_81?keywords=toys+3+year+girl&qid=1684820032&sr=8-81,1020,A-B0013FUKE2,1684820159526,orchard toys,"shopping list booster pack, fruits and veg",,"shopping list, fruits and veg, multicolor",,
"boy,girl",7,toys,amazon-in,"Orchard Toys Shopping List Booster Pack - Clothes, Multicolor (091)",https://m.media-amazon.com/images/I/81dwygpjF-L._AC_UL400_.jpg,₹,3679,"Get it Thursday, 8 June - Monday, 12 June",20,4.7,https://www.amazon.in/Orchard-Toys-Shopping-List-Booster/dp/B0013FYI68/ref=sr_1_45?keywords=toys+7+year+boy&qid=1684816114&sr=8-45,714,A-B0013FYI68,1684822356973,Orchard Toys,"Booster Packs, Toys",,"shopping list, clothes, multicolor",3+,
"boy,girl","1,2,3,4,5,6,8,9",toys,amazon,"Melissa & Doug Slice and Bake Wooden Cookie Play Food Set - Pretend Cookies And Baking Sheet, Wooden Play Food Set, Toy Baking Set For Kids Ages 3+",https://m.media-amazon.com/images/I/71656CC2ihL._AC_UL320_.jpg,$,20.99,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Melissa-Doug-Slice-Wooden-Cookie/dp/B00146K0I6/ref=sr_1_5?keywords=toys+1+year+boy&qid=1674127380&sr=8-5,15999,A-B00146K0I6,1684412225218,"Melissa & Doug, Orchard Toys","Wooden Toys, Toys",,"slice and bake, wooden cookie, play food set, pretend cookies, baking sheet, toy baking, wooden play, toy baking set",3+,
boy,2,toys,amazon,"GUND Sesame Street Official The Count Muppet Plush, Premium Plush Toy for Ages 1 & Up, Black/Green, 14”",https://m.media-amazon.com/images/I/81zNdkugIiL._AC_UL320_.jpg,$,29.99,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Sesame-Street-Stuffed-Animal-inches/dp/B0014AHHOW/ref=sr_1_113?keywords=toys+2+year+boy&qid=1674804367&sr=8-113,2009,A-B0014AHHOW,1681897185746,"GUND, Sesame Street","Plush Toys, Toys",The Count Muppet,"sesame street, official, count muppet, premium plush, black/green",1+,
"boy,girl","1,2,3,4,5",toys,amazon,"Green Toys Tea Set - BPA Free, Phthalates Free Play Toys for Gross Motor, Fine Skills Development. Kitchen Toys",https://m.media-amazon.com/images/I/61vQqdzVAzS._AC_UL320_.jpg,$,18.63,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Green-Toys-Tea-Set-Development/dp/B001543YEY/ref=sr_1_23?keywords=toys+1+year+boy&qid=1674127380&sr=8-23,5570,A-B001543YEY,1684412248530,Green Toys,"Tea Sets, Gross Motor Toys, Kitchen Toys, Toys",,"bpa free, phthalates free, play toys, gross motor, fine skills, development, kitchen toys",3+,
boy,"1,2,3",toys,amazon-in,Le Toy Van London Car Set Premium Wooden Toys for Kids Ages 3 Years & Up (TV267),https://m.media-amazon.com/images/I/81yzELub8FL._AC_UL400_.jpg,₹,5576,"Get it Monday, 5 June - Thursday, 8 June",16,4.7,https://www.amazon.in/Toy-Van-London-Car-Set/dp/B001579CME/ref=sr_1_21?keywords=toys+1+year+boy&qid=1684780548&sr=8-21,714,A-B001579CME,1684814492284,Le Toy Van,"Car Sets, Wooden Toys, Toys",,"london car set, premium wooden, kids, tv267",3+,
"boy,girl","9,1",toys,amazon,"Jellycat Bashful Beige Bunny Stuffed Animal, Medium, 12 inches",https://m.media-amazon.com/images/I/718J9AdrrpL._AC_UL320_.jpg,$,25,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Jellycat-Bashful-Stuffed-Animal-Medium/dp/B00163U4LK/ref=sr_1_202?keywords=toys+9+year+boy&qid=1680775473&sr=8-202,6450,A-B00163U4LK,1681899560189,jellycat,"stuffed animals, toys",bashful beige bunny,"stuffed animal, medium, 12 inches","adults, babies",unisex
